Marca temporal,Bodega,RUT Cliente,Razón Social,Giro,Teléfono,Email,Detalle de Productos,Monto Total,Estado,Observaciones,Enlace Factura,Fecha Facturación,Facturador
15/08/2026 10:30:00,Santiago,76.123.456-0,Comercial Santa Fe SPA,Distribuidora,+56911223344,contacto@santafe.cl,Pack 10 Cajas Aceite,$125.000,Realizada,Despacho urgente,https://drive.google.com/file/d/1A2B3C4D5E/view,15/08/2026 11:00:00,Juan Pérez
15/08/2026 11:15:00,STGO,76.123.456-0,Comercial Santa Fe SPA,Distribuidora,+56911223344,contacto@santafe.cl,Pack 5 Cajas Arroz,$50.000,Facturada,,https://drive.google.com/file/d/1X2Y3Z4A5B/view,15/08/2026 11:45:00,Juan Pérez
16/08/2026 09:20:00,Bodega Norte,77.987.654-3,Minera del Norte Ltda.,Servicios Mineros,+56988776655,facturas@mineradelnorte.cl,Insumos de limpieza,$250.000,Realizada,OC 450098,https://drive.google.com/file/d/2B3C4D5E6F/view,16/08/2026 10:00:00,Ana Gómez
16/08/2026 14:00:00,Bodega Sur,78.555.444-K,Agrícola del Valle SA,Frutícola,+56977665544,admin@agricolavalle.cl,Cajas de embalaje,$180.000,Pendiente,Falta confirmación de stock,,,
17/08/2026 16:45:00,Central,76.123.456-0,Comercial Santa Fe SPA,Distribuidora,,contacto@santafe.cl,Bebidas variadas,$95.000,En Proceso,,,,Carlos Soto
18/08/2026 12:10:00,Santiago,79.111.222-3,Inversiones Los Andes SpA,Inversiones,,inversiones@losandes.cl,Artículos de oficina,$45.000,Necesita Corrección,RUT requiere verificación,,,
19/08/2026 08:30:00,Norte,77.987.654-3,Minera del Norte Ltda.,Servicios Mineros,,facturas@mineradelnorte.cl,EPP y guantes,$310.000,Realizada,,https://drive.google.com/file/d/3C4D5E6F7G/view,19/08/2026 09:15:00,Ana Gómez
19/08/2026 08:30:00,Norte,77.987.654-3,Minera del Norte Ltda.,Servicios Mineros,,facturas@mineradelnorte.cl,EPP y guantes,$310.000,Realizada,,https://drive.google.com/file/d/3C4D5E6F7G/view,19/08/2026 09:15:00,Ana Gómez
20/08/2026 10:00:00,Bodega Inexistente,76.123.456-0,Cliente Test,,,,,100000,Pendiente,,,,
20/08/2026 11:00:00,Santiago,11.111.111-9,RUT Corrupto SPA,Giro,,,$50.000,Pendiente,,,,
20/08/2026 12:00:00,Santiago,76.123.456-0,Cliente Monto Invalido,Giro,,,-50000,Pendiente,,,,
